h_tot_m [mm],PT8_w_m [°C],PT6_m [°C],PT5_m [°C],PT4_m [°C],PT3_m [°C],PT3_m [°C],PT1_c_m [°C],time_h_m [h]
1.226062672,13.15097,9.171273,6.734514,3.889063,0.5747233,0.5747233,-7.515675,4.466666667
1.236222672,13.11565,9.133684,6.702726,3.855371,0.5441976,0.5441976,-7.510059,4.5
1.244274172,13.06923,9.092563,6.6389,3.813135,0.4977783,0.4977783,-7.547657,4.533333333
1.253489672,13.03442,9.042107,6.597527,3.790918,0.4700277,0.4700277,-7.558887,4.566666667
1.262449172,12.99329,9.000985,6.566748,3.731104,0.453125,0.453125,-7.575245,4.6
1.270098672,12.99329,9.00376,6.544296,3.734033,0.4364747,0.4364747,-7.546436,4.633333333
1.277709172,12.96025,8.944222,6.511247,3.687403,0.4021647,0.4021647,-7.574268,4.666666667
1.285428172,12.9113,8.895028,6.46344,3.648096,0.3489339,0.3489339,-7.601367,4.7
1.292952172,12.8606,8.871061,6.411849,3.613672,0.347168,0.347168,-7.592823,4.733333333
1.301716672,12.84773,8.821362,6.377539,3.60586,0.2999919,0.2999919,-7.622852,4.766666667
1.310782172,12.83966,8.80774,6.377539,3.57168,0.3047852,0.3047852,-7.59502,4.8
1.321340672,12.76852,8.75678,6.312704,3.534571,0.2550863,0.2550863,-7.624805,4.833333333
1.331676172,12.73673,8.717929,6.280412,3.502588,0.234021,0.234021,-7.638966,4.866666667
1.343817672,12.73067,8.708216,6.279403,3.493067,0.2159831,0.2159831,-7.602589,4.9
1.354462672,12.65877,8.641614,6.210783,3.430323,0.1635091,0.1635091,-7.653126,4.933333333
1.363534172,12.64944,8.63064,6.188709,3.415186,0.1630046,0.1630046,-7.64458,4.966666667
1.374562172,12.59533,8.588258,6.141028,3.378809,0.1201172,0.1201172,-7.68169,5
1.385761172,12.58057,8.571859,6.126522,3.36001,0.1178467,0.1178467,-7.667774,5.033333333
1.395554672,12.54172,8.507024,6.078842,3.313868,0.07016601,0.07016601,-7.688282,5.066666667
1.406435172,12.53289,8.497437,6.054623,3.315577,0.07319336,0.07319336,-7.680958,5.1
1.415248672,12.51144,8.480535,6.041252,3.30459,0.05729981,0.05729981,-7.66753,5.133333333
1.421569672,12.43626,8.410149,5.97238,3.228296,-0.005517578,-0.005517578,-7.704151,5.166666667
1.427918172,12.4398,8.417969,5.965821,3.209864,-0.01308594,-0.01308594,-7.718311,5.2
1.435373672,12.37471,8.371802,5.92369,3.201319,-0.04361166,-0.04361166,-7.709766,5.233333333
1.441635172,12.36449,8.344556,5.904895,3.173975,-0.04159343,-0.04159343,-7.70879,5.266666667
1.448697172,12.32854,8.301921,5.866928,3.144434,-0.07464194,-0.07464194,-7.728077,5.3
1.454071172,12.31391,8.273918,5.852548,3.12417,-0.09431967,-0.09431967,-7.720997,5.333333333
1.462537672,12.31694,8.275683,5.839681,3.121241,-0.08826498,-0.08826498,-7.710255,5.366666667
1.471350672,12.2299,8.197478,5.758196,3.052637,-0.1493164,-0.1493164,-7.765186,5.4
1.479925172,12.22738,8.177295,5.757439,3.046045,-0.1561279,-0.1561279,-7.752491,5.433333333
1.489765172,12.19887,8.138697,5.721111,3.014795,-0.1798421,-0.1798421,-7.76421,5.466666667
1.499018672,12.15447,8.096062,5.670907,2.980616,-0.2144043,-0.2144043,-7.790699,5.5
1.508351172,12.1305,8.072348,5.634705,2.958643,-0.2277751,-0.2277751,-7.789966,5.533333333
1.518209172,12.10338,8.045857,5.623731,2.950342,-0.2431641,-0.2431641,-7.783985,5.566666667
1.527256172,12.08837,8.037534,5.591691,2.9125,-0.2514893,-0.2514893,-7.779102,5.6
1.536484672,12.03565,7.979004,5.556372,2.865625,-0.2923584,-0.2923584,-7.807667,5.633333333
1.547292672,12.03363,7.980518,5.558138,2.879297,-0.2815104,-0.2815104,-7.783253,5.666666667
1.557961172,12.00108,7.941667,5.515251,2.833155,-0.2961426,-0.2961426,-7.812061,5.7
1.568761672,11.99806,7.917953,5.487753,2.816675,-0.3271728,-0.3271728,-7.814991,5.733333333
1.578416672,11.9534,7.88894,5.463787,2.787012,-0.3483643,-0.3483643,-7.800831,5.766666667
1.585983172,11.92843,7.856902,5.42771,2.754297,-0.372583,-0.372583,-7.83208,5.8
1.591502172,11.89222,7.798878,5.370569,2.716944,-0.4245524,-0.4245524,-7.834034,5.833333333
1.596760672,11.86965,7.809473,5.374984,2.715723,-0.4144613,-0.4144613,-7.835987,5.866666667
1.602897172,11.86056,7.776929,5.355307,2.695704,-0.4273275,-0.4273275,-7.842335,5.9
1.607700672,11.8424,7.750945,5.333611,2.671045,-0.4651693,-0.4651693,-7.831348,5.933333333
1.612260172,11.75536,7.675261,5.266757,2.60708,-0.5337891,-0.5337891,-7.90337,5.966666667
1.620052172,11.79094,7.715374,5.290975,2.623682,-0.5012451,-0.5012451,-7.832081,6
1.628068172,11.74325,7.667566,5.243547,2.607569,-0.5491781,-0.5491781,-7.870655,6.033333333
1.637974672,11.68775,7.609921,5.18628,2.555078,-0.5862631,-0.5862631,-7.900928,6.066666667
