h_tot_m [mm],PT8_c_m,PT6_m,PT5_m,PT4_m,PT3_m,PT3_m,PT1_w_m,time_h_m [h]
15.791,6.772,2.533,-0.255,-3.665,-6.37,-6.37,-11.426,166.6666667
15.793,6.769,2.53,-0.285,-3.687,-6.377,-6.377,-11.454,166.7
15.794,6.783,2.54,-0.233,-3.648,-6.35,-6.35,-11.416,166.7333333
15.796,6.796,2.544,-0.241,-3.674,-6.373,-6.373,-11.42,166.7666667
15.796,6.805,2.565,-0.23,-3.638,-6.352,-6.352,-11.394,166.8
15.796,6.765,2.535,-0.253,-3.683,-6.363,-6.363,-11.444,166.8333333
15.797,6.775,2.533,-0.256,-3.666,-6.371,-6.371,-11.439,166.8666667
15.799,6.809,2.561,-0.224,-3.638,-6.354,-6.354,-11.401,166.9
15.799,6.788,2.54,-0.236,-3.666,-6.363,-6.363,-11.44,166.9333333
15.8,6.792,2.539,-0.239,-3.652,-6.352,-6.352,-11.413,166.9666667
15.8,6.793,2.543,-0.247,-3.677,-6.369,-6.369,-11.439,167
15.801,6.761,2.539,-0.245,-3.683,-6.385,-6.385,-11.43,167.0333333
15.801,6.758,2.531,-0.259,-3.668,-6.38,-6.38,-11.429,167.0666667
15.801,6.771,2.546,-0.258,-3.67,-6.371,-6.371,-11.442,167.1
15.801,6.768,2.525,-0.261,-3.695,-6.372,-6.372,-11.431,167.1333333
15.803,6.771,2.542,-0.257,-3.672,-6.364,-6.364,-11.432,167.1666667
15.803,6.79,2.546,-0.231,-3.66,-6.36,-6.36,-11.426,167.2
15.804,6.769,2.538,-0.243,-3.677,-6.372,-6.372,-11.423,167.2333333
15.804,6.786,2.537,-0.254,-3.665,-6.361,-6.361,-11.433,167.2666667
15.804,6.811,2.572,-0.216,-3.635,-6.363,-6.363,-11.408,167.3
15.806,6.815,2.57,-0.206,-3.626,-6.335,-6.335,-11.386,167.3333333
15.807,6.776,2.538,-0.25,-3.657,-6.382,-6.382,-11.424,167.3666667
15.809,6.783,2.548,-0.256,-3.67,-6.363,-6.363,-11.43,167.4
15.81,6.781,2.544,-0.238,-3.671,-6.372,-6.372,-11.443,167.4333333
15.812,6.835,2.59,-0.186,-3.624,-6.323,-6.323,-11.396,167.4666667
15.813,6.793,2.564,-0.226,-3.65,-6.362,-6.362,-11.403,167.5
15.815,6.793,2.562,-0.229,-3.664,-6.358,-6.358,-11.426,167.5333333
15.816,6.784,2.54,-0.266,-3.68,-6.374,-6.374,-11.42,167.5666667
15.817,6.796,2.558,-0.226,-3.65,-6.347,-6.347,-11.404,167.6
15.818,6.8,2.576,-0.233,-3.641,-6.324,-6.324,-11.41,167.6333333
15.82,6.796,2.544,-0.23,-3.65,-6.34,-6.34,-11.421,167.6666667
15.821,6.778,2.56,-0.223,-3.643,-6.35,-6.35,-11.411,167.7
15.823,6.805,2.545,-0.231,-3.655,-6.339,-6.339,-11.414,167.7333333
15.824,6.779,2.55,-0.232,-3.664,-6.361,-6.361,-11.408,167.7666667
15.826,6.785,2.552,-0.237,-3.654,-6.362,-6.362,-11.424,167.8
15.828,6.794,2.56,-0.237,-3.662,-6.36,-6.36,-11.412,167.8333333
15.829,6.797,2.564,-0.227,-3.648,-6.359,-6.359,-11.408,167.8666667
15.83,6.788,2.534,-0.247,-3.668,-6.367,-6.367,-11.443,167.9
15.831,6.801,2.551,-0.237,-3.673,-6.367,-6.367,-11.425,167.9333333
15.832,6.797,2.566,-0.222,-3.661,-6.319,-6.319,-11.41,167.9666667
15.834,6.795,2.544,-0.237,-3.664,-6.377,-6.377,-11.413,168
15.834,6.817,2.564,-0.226,-3.637,-6.337,-6.337,-11.401,168.0333333
15.836,6.786,2.546,-0.238,-3.673,-6.361,-6.361,-11.423,168.0666667
15.836,6.804,2.561,-0.237,-3.659,-6.364,-6.364,-11.408,168.1
15.838,6.784,2.54,-0.239,-3.668,-6.36,-6.36,-11.422,168.1333333
15.839,6.801,2.552,-0.218,-3.66,-6.343,-6.343,-11.411,168.1666667
15.841,6.79,2.546,-0.257,-3.66,-6.365,-6.365,-11.417,168.2
15.842,6.796,2.552,-0.248,-3.667,-6.357,-6.357,-11.424,168.2333333
15.844,6.804,2.562,-0.237,-3.646,-6.361,-6.361,-11.426,168.2666667
15.844,6.795,2.546,-0.239,-3.656,-6.359,-6.359,-11.436,168.3
15.845,6.775,2.538,-0.252,-3.677,-6.38,-6.38,-11.429,168.3333333
15.847,6.803,2.541,-0.221,-3.656,-6.364,-6.364,-11.416,168.3666667
15.847,6.774,2.521,-0.26,-3.688,-6.389,-6.389,-11.429,168.4
15.848,6.782,2.53,-0.255,-3.672,-6.372,-6.372,-11.436,168.4333333
15.85,6.762,2.528,-0.264,-3.675,-6.38,-6.38,-11.433,168.4666667
15.852,6.798,2.558,-0.244,-3.661,-6.353,-6.353,-11.423,168.5
15.852,6.763,2.517,-0.261,-3.687,-6.375,-6.375,-11.45,168.5333333
15.854,6.777,2.552,-0.249,-3.661,-6.36,-6.36,-11.414,168.5666667
15.855,6.786,2.504,-0.255,-3.681,-6.369,-6.369,-11.425,168.6
15.856,6.781,2.532,-0.24,-3.672,-6.358,-6.358,-11.435,168.6333333
15.857,6.781,2.541,-0.263,-3.668,-6.375,-6.375,-11.432,168.6666667
15.858,6.806,2.55,-0.216,-3.64,-6.332,-6.332,-11.391,168.7
15.86,6.755,2.521,-0.253,-3.706,-6.405,-6.405,-11.454,168.7333333
15.861,6.796,2.531,-0.238,-3.681,-6.366,-6.366,-11.425,168.7666667
15.862,6.777,2.534,-0.244,-3.683,-6.391,-6.391,-11.435,168.8
15.865,6.762,2.528,-0.244,-3.68,-6.353,-6.353,-11.445,168.8333333
15.864,6.802,2.541,-0.232,-3.661,-6.35,-6.35,-11.414,168.8666667
15.865,6.794,2.56,-0.232,-3.654,-6.351,-6.351,-11.411,168.9
15.867,6.771,2.542,-0.253,-3.674,-6.375,-6.375,-11.42,168.9333333
15.867,6.764,2.513,-0.268,-3.714,-6.396,-6.396,-11.449,168.9666667
15.868,6.799,2.552,-0.233,-3.668,-6.351,-6.351,-11.418,169
15.869,6.767,2.513,-0.273,-3.695,-6.391,-6.391,-11.44,169.0333333
15.87,6.799,2.561,-0.224,-3.632,-6.355,-6.355,-11.409,169.0666667
15.871,6.781,2.542,-0.243,-3.672,-6.362,-6.362,-11.423,169.1
15.871,6.792,2.54,-0.242,-3.668,-6.37,-6.37,-11.428,169.1333333
15.872,6.785,2.543,-0.233,-3.66,-6.374,-6.374,-11.415,169.1666667
15.872,6.791,2.549,-0.237,-3.665,-6.343,-6.343,-11.428,169.2
15.873,6.742,2.496,-0.275,-3.731,-6.402,-6.402,-11.473,169.2333333
15.874,6.767,2.521,-0.248,-3.684,-6.376,-6.376,-11.441,169.2666667
15.875,6.789,2.525,-0.249,-3.676,-6.364,-6.364,-11.425,169.3
15.875,6.787,2.539,-0.238,-3.683,-6.358,-6.358,-11.432,169.3333333
15.876,6.78,2.528,-0.24,-3.669,-6.376,-6.376,-11.438,169.3666667
15.877,6.783,2.542,-0.244,-3.689,-6.381,-6.381,-11.438,169.4
15.878,6.775,2.541,-0.248,-3.671,-6.361,-6.361,-11.442,169.4333333
15.879,6.793,2.532,-0.219,-3.652,-6.365,-6.365,-11.425,169.4666667
15.879,6.78,2.551,-0.234,-3.652,-6.357,-6.357,-11.418,169.5
15.88,6.78,2.546,-0.241,-3.656,-6.366,-6.366,-11.435,169.5333333
15.882,6.783,2.537,-0.254,-3.68,-6.37,-6.37,-11.419,169.5666667
15.882,6.793,2.538,-0.221,-3.673,-6.369,-6.369,-11.428,169.6
15.882,6.786,2.531,-0.231,-3.675,-6.366,-6.366,-11.429,169.6333333
15.883,6.796,2.54,-0.234,-3.637,-6.378,-6.378,-11.42,169.6666667
15.885,6.787,2.546,-0.23,-3.642,-6.365,-6.365,-11.438,169.7
15.886,6.799,2.557,-0.242,-3.654,-6.361,-6.361,-11.428,169.7333333
15.887,6.79,2.55,-0.223,-3.661,-6.372,-6.372,-11.438,169.7666667
15.888,6.786,2.554,-0.22,-3.667,-6.377,-6.377,-11.421,169.8
15.888,6.806,2.566,-0.202,-3.643,-6.334,-6.334,-11.405,169.8333333
15.889,6.808,2.593,-0.209,-3.642,-6.35,-6.35,-11.409,169.8666667
15.891,6.789,2.545,-0.246,-3.671,-6.364,-6.364,-11.437,169.9
15.892,6.784,2.549,-0.242,-3.666,-6.377,-6.377,-11.42,169.9333333
15.893,6.797,2.574,-0.219,-3.653,-6.351,-6.351,-11.415,169.9666667
15.894,6.803,2.553,-0.231,-3.664,-6.365,-6.365,-11.411,170
15.895,6.815,2.582,-0.201,-3.641,-6.339,-6.339,-11.402,170.0333333
15.897,6.771,2.539,-0.259,-3.682,-6.375,-6.375,-11.442,170.0666667
15.899,6.799,2.566,-0.216,-3.656,-6.349,-6.349,-11.406,170.1
15.901,6.796,2.537,-0.242,-3.68,-6.382,-6.382,-11.415,170.1333333
15.901,6.79,2.535,-0.228,-3.685,-6.375,-6.375,-11.428,170.1666667
15.902,6.804,2.557,-0.215,-3.655,-6.344,-6.344,-11.415,170.2
15.904,6.798,2.566,-0.226,-3.666,-6.374,-6.374,-11.424,170.2333333
15.906,6.787,2.548,-0.232,-3.663,-6.37,-6.37,-11.427,170.2666667
15.906,6.785,2.557,-0.23,-3.679,-6.358,-6.358,-11.426,170.3
15.907,6.76,2.516,-0.272,-3.709,-6.393,-6.393,-11.452,170.3333333
15.907,6.806,2.557,-0.23,-3.678,-6.365,-6.365,-11.414,170.3666667
15.908,6.773,2.517,-0.241,-3.69,-6.386,-6.386,-11.437,170.4
15.909,6.788,2.545,-0.238,-3.67,-6.374,-6.374,-11.43,170.4333333
15.91,6.801,2.576,-0.221,-3.675,-6.361,-6.361,-11.408,170.4666667
15.912,6.764,2.521,-0.27,-3.72,-6.405,-6.405,-11.451,170.5
15.913,6.778,2.533,-0.256,-3.671,-6.377,-6.377,-11.417,170.5333333
15.913,6.79,2.54,-0.233,-3.685,-6.361,-6.361,-11.433,170.5666667
15.914,6.769,2.528,-0.247,-3.693,-6.387,-6.387,-11.457,170.6
15.916,6.817,2.559,-0.232,-3.649,-6.359,-6.359,-11.406,170.6333333
15.916,6.797,2.538,-0.238,-3.683,-6.365,-6.365,-11.424,170.6666667
15.917,6.778,2.536,-0.254,-3.696,-6.386,-6.386,-11.438,170.7
15.918,6.787,2.522,-0.275,-3.675,-6.382,-6.382,-11.452,170.7333333
15.918,6.786,2.524,-0.25,-3.685,-6.38,-6.38,-11.453,170.7666667
15.918,6.782,2.542,-0.257,-3.686,-6.378,-6.378,-11.444,170.8
15.92,6.748,2.527,-0.24,-3.694,-6.384,-6.384,-11.444,170.8333333
15.921,6.806,2.566,-0.217,-3.663,-6.343,-6.343,-11.416,170.8666667
15.922,6.82,2.581,-0.204,-3.653,-6.35,-6.35,-11.399,170.9
15.923,6.768,2.528,-0.272,-3.701,-6.382,-6.382,-11.442,170.9333333
15.923,6.818,2.57,-0.231,-3.662,-6.342,-6.342,-11.409,170.9666667
15.925,6.803,2.558,-0.228,-3.638,-6.344,-6.344,-11.417,171
15.925,6.786,2.55,-0.25,-3.677,-6.369,-6.369,-11.438,171.0333333
15.926,6.796,2.557,-0.221,-3.668,-6.342,-6.342,-11.396,171.0666667
15.927,6.801,2.548,-0.208,-3.649,-6.338,-6.338,-11.418,171.1
15.928,6.809,2.554,-0.23,-3.666,-6.356,-6.356,-11.425,171.1333333
15.929,6.778,2.527,-0.256,-3.688,-6.393,-6.393,-11.445,171.1666667
15.931,6.796,2.567,-0.231,-3.67,-6.357,-6.357,-11.419,171.2
15.933,6.806,2.546,-0.241,-3.678,-6.366,-6.366,-11.42,171.2333333
15.934,6.764,2.523,-0.261,-3.704,-6.371,-6.371,-11.453,171.2666667
15.936,6.798,2.546,-0.23,-3.66,-6.348,-6.348,-11.419,171.3
15.937,6.81,2.564,-0.217,-3.664,-6.35,-6.35,-11.422,171.3333333
15.938,6.8,2.546,-0.238,-3.671,-6.358,-6.358,-11.418,171.3666667
15.939,6.793,2.562,-0.224,-3.665,-6.358,-6.358,-11.407,171.4
15.94,6.79,2.551,-0.234,-3.667,-6.358,-6.358,-11.439,171.4333333
15.941,6.77,2.522,-0.267,-3.696,-6.385,-6.385,-11.451,171.4666667
15.942,6.767,2.53,-0.264,-3.693,-6.395,-6.395,-11.454,171.5
15.943,6.8,2.549,-0.233,-3.673,-6.381,-6.381,-11.439,171.5333333
15.944,6.795,2.569,-0.222,-3.665,-6.36,-6.36,-11.427,171.5666667
15.946,6.787,2.552,-0.228,-3.671,-6.362,-6.362,-11.422,171.6
15.946,6.785,2.567,-0.239,-3.669,-6.373,-6.373,-11.445,171.6333333
15.947,6.792,2.553,-0.238,-3.681,-6.372,-6.372,-11.426,171.6666667
15.948,6.788,2.549,-0.243,-3.665,-6.371,-6.371,-11.422,171.7
15.949,6.792,2.543,-0.235,-3.679,-6.354,-6.354,-11.439,171.7333333
15.949,6.81,2.574,-0.227,-3.664,-6.363,-6.363,-11.411,171.7666667
15.95,6.796,2.548,-0.242,-3.671,-6.36,-6.36,-11.424,171.8
15.952,6.774,2.554,-0.233,-3.671,-6.371,-6.371,-11.427,171.8333333
15.953,6.786,2.522,-0.234,-3.679,-6.377,-6.377,-11.443,171.8666667
15.954,6.815,2.556,-0.231,-3.686,-6.384,-6.384,-11.431,171.9
15.956,6.802,2.543,-0.244,-3.679,-6.363,-6.363,-11.431,171.9333333
15.956,6.785,2.557,-0.232,-3.667,-6.377,-6.377,-11.435,171.9666667
15.956,6.811,2.572,-0.219,-3.643,-6.351,-6.351,-11.401,172
15.958,6.794,2.541,-0.239,-3.682,-6.366,-6.366,-11.434,172.0333333
15.96,6.806,2.556,-0.221,-3.663,-6.357,-6.357,-11.393,172.0666667
15.96,6.782,2.517,-0.259,-3.717,-6.404,-6.404,-11.443,172.1
15.962,6.807,2.556,-0.222,-3.675,-6.363,-6.363,-11.418,172.1333333
15.963,6.784,2.546,-0.237,-3.686,-6.374,-6.374,-11.431,172.1666667
15.964,6.781,2.563,-0.234,-3.677,-6.36,-6.36,-11.422,172.2
15.966,6.781,2.53,-0.239,-3.687,-6.368,-6.368,-11.432,172.2333333
15.967,6.752,2.499,-0.273,-3.709,-6.406,-6.406,-11.461,172.2666667
15.969,6.793,2.553,-0.237,-3.687,-6.365,-6.365,-11.435,172.3
15.97,6.815,2.573,-0.216,-3.624,-6.347,-6.347,-11.402,172.3333333
15.971,6.796,2.561,-0.235,-3.674,-6.385,-6.385,-11.425,172.3666667
15.972,6.792,2.538,-0.23,-3.687,-6.385,-6.385,-11.423,172.4
15.974,6.772,2.533,-0.248,-3.686,-6.395,-6.395,-11.45,172.4333333
15.976,6.785,2.546,-0.237,-3.681,-6.374,-6.374,-11.422,172.4666667
15.976,6.775,2.526,-0.251,-3.705,-6.388,-6.388,-11.443,172.5
15.978,6.791,2.546,-0.245,-3.677,-6.377,-6.377,-11.433,172.5333333
15.979,6.772,2.531,-0.253,-3.694,-6.38,-6.38,-11.438,172.5666667
15.98,6.791,2.557,-0.222,-3.644,-6.363,-6.363,-11.424,172.6
15.981,6.775,2.537,-0.241,-3.703,-6.392,-6.392,-11.429,172.6333333
15.981,6.81,2.582,-0.199,-3.646,-6.329,-6.329,-11.408,172.6666667
15.982,6.771,2.53,-0.259,-3.694,-6.39,-6.39,-11.422,172.7
15.983,6.779,2.527,-0.247,-3.678,-6.368,-6.368,-11.434,172.7333333
15.983,6.809,2.557,-0.22,-3.659,-6.355,-6.355,-11.418,172.7666667
15.984,6.781,2.532,-0.24,-3.685,-6.388,-6.388,-11.423,172.8
15.984,6.777,2.546,-0.241,-3.692,-6.386,-6.386,-11.437,172.8333333
15.985,6.796,2.57,-0.216,-3.656,-6.349,-6.349,-11.403,172.8666667
15.986,6.787,2.535,-0.226,-3.683,-6.374,-6.374,-11.438,172.9
15.986,6.797,2.54,-0.244,-3.685,-6.38,-6.38,-11.429,172.9333333
15.987,6.791,2.562,-0.231,-3.671,-6.367,-6.367,-11.423,172.9666667
15.988,6.792,2.547,-0.219,-3.684,-6.367,-6.367,-11.44,173
15.989,6.795,2.555,-0.236,-3.681,-6.377,-6.377,-11.436,173.0333333
15.991,6.773,2.54,-0.25,-3.686,-6.392,-6.392,-11.432,173.0666667
15.991,6.799,2.552,-0.243,-3.668,-6.363,-6.363,-11.42,173.1
15.992,6.792,2.54,-0.242,-3.667,-6.369,-6.369,-11.428,173.1333333
15.993,6.777,2.54,-0.252,-3.686,-6.389,-6.389,-11.434,173.1666667
15.994,6.766,2.534,-0.267,-3.703,-6.396,-6.396,-11.442,173.2
15.995,6.769,2.541,-0.244,-3.705,-6.384,-6.384,-11.432,173.2333333
15.996,6.777,2.548,-0.245,-3.678,-6.377,-6.377,-11.443,173.2666667
15.997,6.785,2.524,-0.24,-3.687,-6.382,-6.382,-11.426,173.3
15.998,6.79,2.564,-0.24,-3.68,-6.378,-6.378,-11.431,173.3333333
15.998,6.787,2.56,-0.235,-3.668,-6.378,-6.378,-11.421,173.3666667
15.999,6.816,2.574,-0.234,-3.674,-6.363,-6.363,-11.406,173.4
15.999,6.792,2.537,-0.237,-3.683,-6.379,-6.379,-11.424,173.4333333
16,6.786,2.528,-0.254,-3.713,-6.391,-6.391,-11.431,173.4666667
16,6.752,2.519,-0.263,-3.715,-6.406,-6.406,-11.46,173.5
16.001,6.773,2.539,-0.242,-3.698,-6.378,-6.378,-11.457,173.5333333
16.002,6.794,2.554,-0.217,-3.674,-6.355,-6.355,-11.428,173.5666667
16.002,6.797,2.568,-0.225,-3.669,-6.369,-6.369,-11.405,173.6
16.002,6.796,2.53,-0.234,-3.69,-6.375,-6.375,-11.429,173.6333333
16.003,6.809,2.549,-0.229,-3.674,-6.358,-6.358,-11.427,173.6666667
16.003,6.806,2.534,-0.226,-3.699,-6.379,-6.379,-11.429,173.7
16.004,6.817,2.569,-0.222,-3.667,-6.353,-6.353,-11.397,173.7333333
16.004,6.807,2.592,-0.205,-3.663,-6.361,-6.361,-11.411,173.7666667
16.005,6.773,2.523,-0.259,-3.71,-6.384,-6.384,-11.446,173.8
16.006,6.806,2.554,-0.234,-3.657,-6.372,-6.372,-11.411,173.8333333
16.006,6.744,2.506,-0.265,-3.719,-6.405,-6.405,-11.48,173.8666667
16.007,6.78,2.526,-0.244,-3.693,-6.38,-6.38,-11.444,173.9
16.008,6.788,2.546,-0.242,-3.681,-6.375,-6.375,-11.442,173.9333333
16.009,6.791,2.555,-0.236,-3.667,-6.377,-6.377,-11.426,173.9666667
16.011,6.816,2.57,-0.205,-3.645,-6.35,-6.35,-11.399,174
16.012,6.769,2.532,-0.252,-3.704,-6.39,-6.39,-11.449,174.0333333
16.012,6.789,2.558,-0.246,-3.674,-6.369,-6.369,-11.429,174.0666667
16.013,6.762,2.535,-0.262,-3.696,-6.394,-6.394,-11.446,174.1
16.013,6.749,2.533,-0.242,-3.702,-6.395,-6.395,-11.443,174.1333333
16.013,6.813,2.582,-0.22,-3.659,-6.344,-6.344,-11.416,174.1666667
16.014,6.794,2.556,-0.227,-3.665,-6.369,-6.369,-11.423,174.2
16.015,6.767,2.521,-0.251,-3.706,-6.396,-6.396,-11.46,174.2333333
16.017,6.824,2.565,-0.212,-3.672,-6.348,-6.348,-11.416,174.2666667
16.018,6.797,2.546,-0.239,-3.667,-6.367,-6.367,-11.436,174.3
16.02,6.801,2.565,-0.223,-3.679,-6.362,-6.362,-11.389,174.3333333
16.021,6.773,2.527,-0.246,-3.701,-6.381,-6.381,-11.439,174.3666667
16.022,6.807,2.571,-0.231,-3.648,-6.338,-6.338,-11.402,174.4
16.024,6.786,2.546,-0.234,-3.688,-6.372,-6.372,-11.438,174.4333333
16.025,6.793,2.568,-0.218,-3.656,-6.355,-6.355,-11.423,174.4666667
16.026,6.796,2.561,-0.233,-3.679,-6.35,-6.35,-11.405,174.5
16.027,6.777,2.559,-0.223,-3.665,-6.375,-6.375,-11.424,174.5333333
16.029,6.795,2.567,-0.217,-3.681,-6.355,-6.355,-11.436,174.5666667
16.03,6.783,2.555,-0.219,-3.668,-6.363,-6.363,-11.423,174.6
16.032,6.799,2.551,-0.243,-3.673,-6.374,-6.374,-11.422,174.6333333
16.034,6.775,2.549,-0.236,-3.696,-6.367,-6.367,-11.425,174.6666667
16.035,6.796,2.528,-0.249,-3.685,-6.391,-6.391,-11.439,174.7
16.036,6.809,2.582,-0.233,-3.67,-6.344,-6.344,-11.419,174.7333333
16.037,6.787,2.539,-0.241,-3.707,-6.393,-6.393,-11.441,174.7666667
16.037,6.795,2.55,-0.237,-3.671,-6.352,-6.352,-11.429,174.8
16.039,6.82,2.585,-0.21,-3.654,-6.343,-6.343,-11.412,174.8333333
16.04,6.798,2.55,-0.244,-3.675,-6.379,-6.379,-11.428,174.8666667
16.04,6.796,2.562,-0.239,-3.664,-6.366,-6.366,-11.415,174.9
16.042,6.775,2.545,-0.261,-3.706,-6.397,-6.397,-11.456,174.9333333
16.043,6.779,2.55,-0.238,-3.687,-6.386,-6.386,-11.417,174.9666667
16.045,6.776,2.539,-0.248,-3.697,-6.401,-6.401,-11.448,175
16.046,6.755,2.53,-0.261,-3.718,-6.402,-6.402,-11.468,175.0333333
16.046,6.819,2.562,-0.213,-3.662,-6.374,-6.374,-11.406,175.0666667
16.048,6.818,2.573,-0.211,-3.662,-6.358,-6.358,-11.41,175.1
16.05,6.79,2.537,-0.244,-3.688,-6.373,-6.373,-11.437,175.1333333
16.049,6.795,2.553,-0.229,-3.693,-6.381,-6.381,-11.425,175.1666667
16.051,6.79,2.548,-0.233,-3.672,-6.375,-6.375,-11.424,175.2
16.051,6.789,2.546,-0.232,-3.697,-6.372,-6.372,-11.436,175.2333333
16.052,6.789,2.554,-0.25,-3.68,-6.383,-6.383,-11.433,175.2666667
16.053,6.823,2.578,-0.209,-3.65,-6.358,-6.358,-11.402,175.3
16.053,6.768,2.537,-0.25,-3.695,-6.389,-6.389,-11.455,175.3333333
16.054,6.781,2.527,-0.272,-3.7,-6.4,-6.4,-11.452,175.3666667
16.056,6.812,2.557,-0.223,-3.666,-6.364,-6.364,-11.406,175.4
16.055,6.795,2.548,-0.237,-3.694,-6.38,-6.38,-11.423,175.4333333
16.057,6.781,2.554,-0.244,-3.681,-6.381,-6.381,-11.429,175.4666667
16.058,6.791,2.546,-0.234,-3.674,-6.361,-6.361,-11.439,175.5
16.059,6.775,2.527,-0.26,-3.707,-6.392,-6.392,-11.449,175.5333333
16.059,6.819,2.567,-0.227,-3.667,-6.359,-6.359,-11.405,175.5666667
16.06,6.784,2.534,-0.245,-3.702,-6.395,-6.395,-11.433,175.6
16.061,6.788,2.548,-0.232,-3.67,-6.356,-6.356,-11.427,175.6333333
16.062,6.822,2.578,-0.203,-3.641,-6.353,-6.353,-11.412,175.6666667
16.063,6.809,2.56,-0.235,-3.665,-6.363,-6.363,-11.415,175.7
16.064,6.799,2.561,-0.231,-3.702,-6.382,-6.382,-11.419,175.7333333
16.064,6.813,2.567,-0.216,-3.655,-6.358,-6.358,-11.414,175.7666667
16.065,6.81,2.57,-0.212,-3.656,-6.346,-6.346,-11.412,175.8
16.066,6.822,2.56,-0.216,-3.658,-6.336,-6.336,-11.399,175.8333333
16.067,6.796,2.541,-0.235,-3.671,-6.38,-6.38,-11.427,175.8666667
16.067,6.817,2.579,-0.22,-3.664,-6.371,-6.371,-11.392,175.9
16.068,6.818,2.564,-0.218,-3.669,-6.359,-6.359,-11.427,175.9333333
16.069,6.784,2.55,-0.252,-3.703,-6.4,-6.4,-11.441,175.9666667
16.069,6.778,2.564,-0.226,-3.674,-6.367,-6.367,-11.406,176
16.07,6.8,2.556,-0.231,-3.673,-6.359,-6.359,-11.424,176.0333333
16.071,6.825,2.587,-0.203,-3.651,-6.338,-6.338,-11.401,176.0666667
16.071,6.792,2.565,-0.227,-3.672,-6.373,-6.373,-11.418,176.1
16.073,6.807,2.549,-0.235,-3.663,-6.361,-6.361,-11.402,176.1333333
16.073,6.814,2.566,-0.213,-3.661,-6.361,-6.361,-11.409,176.1666667
16.075,6.794,2.559,-0.236,-3.686,-6.379,-6.379,-11.433,176.2
16.075,6.799,2.58,-0.2,-3.663,-6.35,-6.35,-11.391,176.2333333
16.075,6.778,2.535,-0.252,-3.68,-6.403,-6.403,-11.44,176.2666667
16.077,6.819,2.563,-0.228,-3.66,-6.37,-6.37,-11.399,176.3
16.077,6.792,2.526,-0.253,-3.712,-6.403,-6.403,-11.451,176.3333333
16.078,6.76,2.542,-0.262,-3.701,-6.406,-6.406,-11.456,176.3666667
16.079,6.796,2.55,-0.249,-3.695,-6.381,-6.381,-11.442,176.4
16.08,6.791,2.534,-0.241,-3.697,-6.386,-6.386,-11.439,176.4333333
16.081,6.805,2.568,-0.212,-3.677,-6.378,-6.378,-11.429,176.4666667
16.083,6.809,2.56,-0.216,-3.683,-6.357,-6.357,-11.423,176.5
16.083,6.823,2.585,-0.207,-3.669,-6.351,-6.351,-11.405,176.5333333
16.084,6.778,2.542,-0.239,-3.697,-6.375,-6.375,-11.434,176.5666667
16.085,6.8,2.548,-0.23,-3.67,-6.387,-6.387,-11.43,176.6
16.086,6.797,2.542,-0.234,-3.698,-6.397,-6.397,-11.449,176.6333333
16.088,6.8,2.544,-0.248,-3.685,-6.374,-6.374,-11.442,176.6666667
16.09,6.801,2.563,-0.247,-3.682,-6.385,-6.385,-11.431,176.7
16.09,6.787,2.542,-0.237,-3.681,-6.388,-6.388,-11.443,176.7333333
16.091,6.79,2.527,-0.249,-3.704,-6.389,-6.389,-11.442,176.7666667
16.093,6.802,2.557,-0.236,-3.682,-6.373,-6.373,-11.419,176.8
16.095,6.813,2.56,-0.228,-3.678,-6.368,-6.368,-11.419,176.8333333
16.095,6.791,2.56,-0.243,-3.682,-6.388,-6.388,-11.439,176.8666667
16.097,6.775,2.555,-0.244,-3.685,-6.367,-6.367,-11.434,176.9
16.097,6.755,2.544,-0.248,-3.709,-6.398,-6.398,-11.45,176.9333333
16.099,6.766,2.531,-0.247,-3.71,-6.393,-6.393,-11.452,176.9666667
16.101,6.792,2.533,-0.24,-3.7,-6.387,-6.387,-11.449,177
16.102,6.795,2.565,-0.237,-3.685,-6.375,-6.375,-11.433,177.0333333
16.102,6.783,2.549,-0.225,-3.693,-6.38,-6.38,-11.419,177.0666667
16.103,6.779,2.55,-0.266,-3.712,-6.4,-6.4,-11.444,177.1
16.104,6.8,2.55,-0.239,-3.67,-6.388,-6.388,-11.43,177.1333333
16.104,6.782,2.566,-0.237,-3.683,-6.386,-6.386,-11.422,177.1666667
16.106,6.78,2.548,-0.242,-3.687,-6.383,-6.383,-11.451,177.2
16.106,6.791,2.563,-0.23,-3.683,-6.372,-6.372,-11.423,177.2333333
16.107,6.785,2.554,-0.228,-3.696,-6.389,-6.389,-11.437,177.2666667
16.108,6.792,2.542,-0.236,-3.713,-6.374,-6.374,-11.426,177.3
16.109,6.77,2.535,-0.239,-3.697,-6.402,-6.402,-11.433,177.3333333
16.111,6.796,2.539,-0.213,-3.671,-6.367,-6.367,-11.415,177.3666667
16.111,6.792,2.549,-0.232,-3.691,-6.383,-6.383,-11.423,177.4
16.113,6.803,2.582,-0.221,-3.666,-6.365,-6.365,-11.414,177.4333333
16.113,6.788,2.55,-0.235,-3.683,-6.384,-6.384,-11.434,177.4666667
16.114,6.778,2.539,-0.239,-3.705,-6.387,-6.387,-11.435,177.5
16.115,6.806,2.568,-0.217,-3.674,-6.366,-6.366,-11.419,177.5333333
16.116,6.821,2.571,-0.186,-3.665,-6.358,-6.358,-11.404,177.5666667
16.117,6.807,2.562,-0.234,-3.672,-6.366,-6.366,-11.422,177.6
